recipe_id,ingredient_id,quantity_required,unit_id
02ffa6a1-b878-4d74-b6a9-bc728cebfd28,42,150,1
02ffa6a1-b878-4d74-b6a9-bc728cebfd28,398,10,1
02ffa6a1-b878-4d74-b6a9-bc728cebfd28,372,2,1 
