recipe_id,ingredient_id,quantity_required,unit_id
FB0E9147-E756-45FD-9C28-3CA835B30916,103,100,1
FB0E9147-E756-45FD-9C28-3CA835B30916,2,0.5,7
FB0E9147-E756-45FD-9C28-3CA835B30916,3,1,3
FB0E9147-E756-45FD-9C28-3CA835B30916,1,0.5,3
FB0E9147-E756-45FD-9C28-3CA835B30916,265,1,4
FB0E9147-E756-45FD-9C28-3CA835B30916,233,1,4
FB0E9147-E756-45FD-9C28-3CA835B30916,227,1,4
FB0E9147-E756-45FD-9C28-3CA835B30916,229,1,4
FB0E9147-E756-45FD-9C28-3CA835B30916,228,1,4
FB0E9147-E756-45FD-9C28-3CA835B30916,226,1,4
FB0E9147-E756-45FD-9C28-3CA835B30916,235,1,17
FB0E9147-E756-45FD-9C28-3CA835B30916,190,1,28 
